feature,importancia
atr_pct,0.08091885
volatilidad_20,0.051220123
es_resistencia,0.03768086
rango_vela_pct,0.02371863
es_soporte,0.023266783
regimen_mercado,0.022434454
ichi_tenkan,0.02205804
rsi_diario,0.020631125
fear_greed_num,0.019315703
fib_236,0.018269455
tendencia_4h,0.017005254
precio_sobre_ema200,0.016208602
ema_9,0.015323295
fear_greed,0.014832028
ema200_pendiente,0.014660427
kc_mid,0.014582823
ichi_kijun,0.014523204
ema_50,0.014251634
bb_lower,0.014063646
sma_20,0.013705021
ichi_chikou,0.013612653
fib_500,0.012863269
dist_resistencia_pct,0.012795486
kc_upper,0.012467435
kc_lower,0.012418383
ema50_sobre_ema200,0.0120825395
sma_50,0.01191563
vwap,0.01152003
alineacion_timeframes,0.010896905
ema_200,0.010703345
bb_upper,0.010665315
sma_200,0.010341995
mfi_sobrecompra,0.010303273
roc_20,0.010137652
rsi_4h,0.010137112
correlacion_btc,0.00991368
posicion_canal,0.009912497
obv_ema,0.009881551
ema_21,0.009824387
rsi_semanal,0.009787172
atr_14,0.009265993
ichi_senkou_b,0.009261169
macd_signal,0.009137801
dist_soporte_pct,0.009132522
obv,0.009129792
ema50_diario,0.009040642
ichi_senkou_a,0.008779432
ema50_4h,0.008656593
rsi_sobrecompra,0.008289049
williams_r,0.008223288
macd,0.008166102
bb_squeeze,0.0079232
ema50_semanal,0.007787221
fib_382,0.007759017
fib_618,0.0077463523
tendencia_semanal,0.0074684513
rsi_14,0.0070176595
señal_patrones_graficos,0.0069475677
fear_greed_cambio,0.0068474873
volatilidad_50,0.00660264
patron_flag,0.006586411
momentum_pct_10,0.006573959
adx,0.0064893253
dmi_neg,0.0064278524
patron_cuña,0.0062901853
ema_100,0.006226591
descorrelacionado,0.005961564
dmi_pos,0.0058592707
macd_hist,0.005701635
en_canal,0.005680913
cci_20,0.005075893
bb_width,0.0046390155
roc_10,0.0044592125
señal_multitf_fuerte,0.0042164754
cerca_fib_236,0.0042099203
rsi_zona_neutral,0.0042087766
precio_sobre_vwap,0.0041886303
rsi_7,0.0039673042
mfi_14,0.0038758726
bb_posicion,0.003822573
stoch_d,0.003574633
cerca_fib_382,0.003478122
bb_mid,0.0034779147
confirmacion_bajista,0.0031997706
tendencia_diario,0.003119908
stoch_k,0.0030878833
momentum_10,0.002791783
volumen_ratio,0.0027571595
patron_tres_cuervos,0.0024344733
rango_vela,0.0023603663
cerca_fib_500,0.0020872601
volumen_anomalo,0.0020416337
cerca_fib_618,0.0017971817
patron_estrella_fugaz,0.0015474355
patron_doji,0.00091887906
patron_tres_soldados,0.00079812465
patron_hch,0.00075798563
divergencia_bajista_rsi,0.00074397365
señal_velas,0.000531938
obv_tendencia,0.0
macd_cruce,0.0
stoch_sobrecompra,0.0
rsi_sobreventa,0.0
divergencia_alcista_rsi,0.0
stoch_sobreventa,0.0
precio_sobre_ema50,0.0
golden_cross,0.0
death_cross,0.0
patron_evening_star,0.0
patron_morning_star,0.0
patron_harami_alcista,0.0
patron_engulfing_bajista,0.0
patron_engulfing_alcista,0.0
patron_marubozu_bajista,0.0
patron_marubozu_alcista,0.0
patron_martillo,0.0
volumen_muy_bajo,0.0
mfi_sobreventa,0.0
confirmacion_alcista,0.0
mcap_btc,0.0
patron_doble_suelo,0.0
patron_doble_techo,0.0
patron_hch_invertido,0.0
patron_triangulo,0.0
