feature,importancia
atr_pct,0.056997925
es_resistencia,0.050856624
es_soporte,0.03307663
ema50_sobre_ema200,0.020950582
rsi_diario,0.019619638
ichi_tenkan,0.019002434
volatilidad_20,0.018612107
regimen_mercado,0.018517772
tendencia_4h,0.01823079
ema_9,0.015347208
bb_mid,0.014717124
rsi_sobrecompra,0.014510674
fib_500,0.014253442
ichi_chikou,0.014225338
ema200_pendiente,0.013854581
fib_382,0.013682787
precio_sobre_ema200,0.013477299
ema_21,0.013133438
vwap,0.013115554
bb_lower,0.012984778
fib_236,0.012676986
fear_greed,0.012241283
dist_resistencia_pct,0.012216933
kc_mid,0.012110535
kc_lower,0.011826533
bb_upper,0.011725215
ichi_kijun,0.011184874
kc_upper,0.011174888
volatilidad_50,0.0108435005
ema_50,0.010611501
rango_vela_pct,0.010532683
rsi_semanal,0.01047165
fear_greed_num,0.010424834
sma_50,0.010236904
roc_20,0.010135918
sma_20,0.010113164
obv_ema,0.01005812
ichi_senkou_b,0.009684109
rsi_4h,0.009621801
correlacion_btc,0.0096147
en_canal,0.009598872
ema_200,0.009424268
ema_100,0.009314565
ema50_diario,0.009269289
obv,0.009210579
macd,0.009204336
alineacion_timeframes,0.009188195
fib_618,0.0091536855
macd_signal,0.008984461
dist_soporte_pct,0.008901224
ema50_semanal,0.008765505
atr_14,0.008744778
patron_flag,0.008252002
ema50_4h,0.008084979
patron_triangulo,0.007887247
williams_r,0.0075820778
ichi_senkou_a,0.0075600394
sma_200,0.007515911
cerca_fib_382,0.0074718776
rsi_14,0.0074286433
fear_greed_cambio,0.007385739
señal_multitf_fuerte,0.007138879
descorrelacionado,0.0071133943
tendencia_diario,0.006977681
stoch_sobrecompra,0.0065949922
adx,0.0065651895
confirmacion_bajista,0.0065467227
bb_width,0.00649262
macd_hist,0.0064528007
cci_20,0.006347374
bb_squeeze,0.0062915897
señal_patrones_graficos,0.0062640575
dmi_pos,0.0061814515
tendencia_semanal,0.0061298404
dmi_neg,0.0060720555
precio_sobre_vwap,0.005651036
patron_cuña,0.005367914
posicion_canal,0.005248061
rsi_7,0.0049564387
bb_posicion,0.004924466
patron_engulfing_alcista,0.004889521
roc_10,0.004684986
stoch_d,0.0045260256
mfi_14,0.004347841
stoch_k,0.0041715186
patron_engulfing_bajista,0.0040727593
momentum_10,0.004045887
obv_tendencia,0.0039919442
momentum_pct_10,0.0039047315
cerca_fib_618,0.003715749
volumen_ratio,0.0034870808
rango_vela,0.0033235042
rsi_zona_neutral,0.003047316
macd_cruce,0.0028944102
cerca_fib_236,0.0028747455
señal_velas,0.0028191314
patron_tres_cuervos,0.0027185602
patron_estrella_fugaz,0.0026697104
patron_tres_soldados,0.0026260698
volumen_anomalo,0.0019965197
patron_doji,0.0015932465
cerca_fib_500,0.0014166931
patron_hch,0.0013267236
divergencia_bajista_rsi,0.001143626
precio_sobre_ema50,0.00079399784
golden_cross,0.0
divergencia_alcista_rsi,0.0
death_cross,0.0
rsi_sobreventa,0.0
stoch_sobreventa,0.0
patron_evening_star,0.0
patron_morning_star,0.0
patron_marubozu_alcista,0.0
patron_martillo,0.0
mfi_sobrecompra,0.0
confirmacion_alcista,0.0
volumen_muy_bajo,0.0
mfi_sobreventa,0.0
patron_harami_alcista,0.0
patron_marubozu_bajista,0.0
mcap_btc,0.0
patron_doble_suelo,0.0
patron_doble_techo,0.0
patron_hch_invertido,0.0
