feature,importancia
es_resistencia,0.04758919
es_soporte,0.04483458
patron_doble_suelo,0.035294347
atr_pct,0.02796573
ema50_sobre_ema200,0.02718995
tendencia_4h,0.021008583
precio_sobre_ema200,0.019679243
señal_multitf_fuerte,0.019647166
rsi_diario,0.017589688
ichi_chikou,0.015278411
kc_lower,0.015029787
regimen_mercado,0.014731079
alineacion_timeframes,0.014615822
ema_9,0.014080897
vwap,0.013804089
ema200_pendiente,0.013456779
fib_236,0.013207042
ichi_kijun,0.013195128
fib_382,0.0131326355
precio_sobre_ema50,0.013118851
kc_mid,0.013082449
ema_21,0.012722461
bb_lower,0.012626396
sma_20,0.0125638405
ema50_semanal,0.011954294
ichi_tenkan,0.01186154
ema_200,0.011119501
tendencia_semanal,0.010890868
fib_618,0.010797435
dist_soporte_pct,0.010732123
fib_500,0.010633096
bb_upper,0.010459868
kc_upper,0.010264541
rsi_4h,0.010198977
ema50_4h,0.009745799
volatilidad_50,0.009738649
dist_resistencia_pct,0.009462512
sma_200,0.009347745
ema50_diario,0.008837205
tendencia_diario,0.008781995
obv,0.008745221
fear_greed_num,0.008582574
atr_14,0.008543695
fear_greed,0.008326269
ema_100,0.008289277
correlacion_btc,0.008083518
ema_50,0.008082985
rsi_semanal,0.00805045
fear_greed_cambio,0.007986625
ichi_senkou_b,0.007849676
roc_20,0.0077175978
bb_mid,0.007408596
obv_ema,0.0073538227
ichi_senkou_a,0.007229355
rsi_14,0.0071303016
sma_50,0.007091531
macd,0.0070384555
macd_signal,0.006988227
obv_tendencia,0.006896413
patron_flag,0.0067634545
adx,0.0066545075
patron_harami_alcista,0.006572436
rango_vela_pct,0.006536861
precio_sobre_vwap,0.0064878264
dmi_neg,0.0062826183
volatilidad_20,0.0062711583
macd_hist,0.006061721
posicion_canal,0.0059275953
williams_r,0.005889015
dmi_pos,0.0056931474
cerca_fib_618,0.0056633423
señal_velas,0.005614571
patron_hch_invertido,0.005604944
patron_tres_soldados,0.005442677
bb_width,0.0053225183
cerca_fib_236,0.00517361
cci_20,0.0050996495
mfi_14,0.0049700374
cerca_fib_500,0.0049680024
patron_triangulo,0.0049128816
rsi_zona_neutral,0.0049098376
patron_cuña,0.004891641
señal_patrones_graficos,0.004754293
rsi_7,0.004711261
momentum_pct_10,0.004592268
roc_10,0.0044700294
stoch_sobreventa,0.0044548344
bb_posicion,0.004409704
rango_vela,0.004389184
bb_squeeze,0.0043472224
stoch_d,0.004255359
momentum_10,0.0041853166
volumen_ratio,0.0041048736
cerca_fib_382,0.00391151
en_canal,0.00389301
stoch_k,0.0038861064
patron_doji,0.0038414735
descorrelacionado,0.0038321624
patron_doble_techo,0.0037915537
macd_cruce,0.0036547822
patron_tres_cuervos,0.003348919
patron_morning_star,0.0028319247
mfi_sobrecompra,0.0026841857
patron_engulfing_alcista,0.002010124
divergencia_bajista_rsi,0.0018936403
volumen_anomalo,0.0016746551
confirmacion_bajista,0.0006929286
death_cross,0.0
rsi_sobreventa,0.0
stoch_sobrecompra,0.0
divergencia_alcista_rsi,0.0
rsi_sobrecompra,0.0
golden_cross,0.0
patron_evening_star,0.0
volumen_muy_bajo,0.0
confirmacion_alcista,0.0
mfi_sobreventa,0.0
patron_engulfing_bajista,0.0
patron_marubozu_alcista,0.0
patron_marubozu_bajista,0.0
patron_estrella_fugaz,0.0
patron_martillo,0.0
mcap_btc,0.0
patron_hch,0.0
