feature,importancia
es_resistencia,0.052917298
ema50_sobre_ema200,0.029913811
atr_pct,0.029786082
es_soporte,0.028484492
regimen_mercado,0.02544864
tendencia_4h,0.023772396
rsi_diario,0.022273177
precio_sobre_ema200,0.01865895
rango_vela_pct,0.016871203
sma_20,0.016351206
kc_lower,0.016051067
vwap,0.015836451
fear_greed,0.015717244
kc_upper,0.015711542
dist_resistencia_pct,0.014927131
ema200_pendiente,0.014672665
fib_236,0.014139404
patron_doble_techo,0.013955744
ichi_kijun,0.013422051
bb_upper,0.013396682
ichi_chikou,0.012521966
alineacion_timeframes,0.012516216
ema_9,0.012505952
fib_618,0.0120055545
ema_21,0.011916028
bb_lower,0.011666608
ichi_tenkan,0.011652145
rsi_semanal,0.011517154
fib_500,0.011051286
kc_mid,0.010805484
señal_patrones_graficos,0.010574581
obv_ema,0.010433027
rsi_4h,0.0100625865
obv,0.009992217
ema_50,0.009949633
volatilidad_20,0.009939894
fib_382,0.009864134
bb_squeeze,0.009598918
bb_mid,0.00957814
macd_signal,0.009118228
sma_200,0.008965118
macd,0.008854503
ichi_senkou_a,0.008785708
fear_greed_num,0.008619743
ema50_semanal,0.008555715
dist_soporte_pct,0.008360101
ichi_senkou_b,0.0082114525
bb_width,0.008202164
ema50_4h,0.008119534
volatilidad_50,0.007979774
ema_200,0.007878222
atr_14,0.007860134
tendencia_diario,0.007851857
roc_20,0.007834362
sma_50,0.007829071
fear_greed_cambio,0.0075045093
cci_20,0.0074258563
ema_100,0.007278105
ema50_diario,0.007129845
confirmacion_alcista,0.007004168
adx,0.0068658977
cerca_fib_500,0.006825928
patron_hch,0.0066707204
mfi_sobrecompra,0.006651283
williams_r,0.0066007976
rsi_14,0.006483891
en_canal,0.0062829345
patron_cuña,0.0062346417
rsi_zona_neutral,0.0061267526
cerca_fib_236,0.006040036
rango_vela,0.005915339
patron_triangulo,0.005848577
dmi_pos,0.005827345
bb_posicion,0.0057641543
cerca_fib_618,0.0057406826
posicion_canal,0.0057177763
momentum_pct_10,0.005668264
dmi_neg,0.0056448695
rsi_7,0.005614969
cerca_fib_382,0.005571407
patron_evening_star,0.0055634654
momentum_10,0.005363092
macd_hist,0.0052499664
precio_sobre_vwap,0.005216762
mfi_14,0.00495178
volumen_muy_bajo,0.004830774
patron_flag,0.0046872636
volumen_ratio,0.004652288
señal_multitf_fuerte,0.0043055094
patron_tres_soldados,0.004152511
patron_marubozu_alcista,0.0041373894
roc_10,0.0039171223
stoch_k,0.0039116708
stoch_d,0.003882679
mfi_sobreventa,0.0038002317
patron_tres_cuervos,0.0035855921
señal_velas,0.0031795222
volumen_anomalo,0.002990009
divergencia_alcista_rsi,0.0027760197
patron_doji,0.0014188974
confirmacion_bajista,0.001355399
divergencia_bajista_rsi,0.0011436121
obv_tendencia,0.00084548414
patron_doble_suelo,0.0007700267
tendencia_semanal,0.0007428398
patron_martillo,0.00064698874
death_cross,0.0
stoch_sobrecompra,0.0
rsi_sobrecompra,0.0
rsi_sobreventa,0.0
stoch_sobreventa,0.0
macd_cruce,0.0
precio_sobre_ema50,0.0
golden_cross,0.0
patron_estrella_fugaz,0.0
patron_morning_star,0.0
patron_harami_alcista,0.0
patron_engulfing_bajista,0.0
patron_engulfing_alcista,0.0
patron_marubozu_bajista,0.0
patron_hch_invertido,0.0
mcap_btc,0.0
correlacion_btc,0.0
