feature,importancia
es_soporte,0.040964983
es_resistencia,0.034218688
ema50_sobre_ema200,0.033435434
tendencia_4h,0.026953125
stoch_sobrecompra,0.022967355
rsi_diario,0.021535987
regimen_mercado,0.0202936
precio_sobre_ema200,0.019975238
rango_vela_pct,0.019033212
atr_pct,0.018494321
fear_greed_num,0.0180986
ichi_kijun,0.013350537
fear_greed,0.013287237
ema200_pendiente,0.013195657
fib_500,0.012756141
bb_lower,0.012634281
bb_upper,0.011947426
tendencia_semanal,0.011603136
kc_lower,0.011423312
ichi_chikou,0.011364416
ichi_tenkan,0.011199199
fib_382,0.011135343
kc_mid,0.011029689
obv_ema,0.010913866
ema50_semanal,0.010839175
en_canal,0.0107955225
dist_soporte_pct,0.010383945
vwap,0.010329934
señal_multitf_fuerte,0.010314746
rsi_zona_neutral,0.010226876
fib_618,0.010175658
precio_sobre_ema50,0.010014054
dist_resistencia_pct,0.009884362
macd_cruce,0.009843102
kc_upper,0.009777112
sma_20,0.009647504
rsi_semanal,0.009461305
ichi_senkou_b,0.00932408
ema50_4h,0.009306549
macd,0.009303104
ema50_diario,0.009234902
rango_vela,0.009078658
obv,0.008989391
tendencia_diario,0.008887884
fib_236,0.008857174
fear_greed_cambio,0.008786475
rsi_4h,0.008716445
alineacion_timeframes,0.008598241
ema_21,0.008557894
macd_signal,0.008554184
ema_9,0.008551192
sma_200,0.008550585
sma_50,0.008524455
ichi_senkou_a,0.008214256
roc_20,0.007926969
cerca_fib_382,0.0078184055
ema_100,0.0077812695
ema_200,0.007672713
atr_14,0.007662533
volatilidad_50,0.007537068
volatilidad_20,0.007276667
volumen_muy_bajo,0.007037821
ema_50,0.0067818332
bb_width,0.0066681113
rsi_14,0.006654689
patron_hch_invertido,0.0065466487
patron_flag,0.006475771
bb_mid,0.006469973
adx,0.006093004
cci_20,0.006058757
obv_tendencia,0.006037651
señal_patrones_graficos,0.0059463605
williams_r,0.0057987
patron_cuña,0.0057338327
bb_squeeze,0.0056103133
macd_hist,0.0054448512
volumen_ratio,0.0053924955
dmi_pos,0.0052813436
mfi_14,0.0052103433
mfi_sobrecompra,0.005014031
precio_sobre_vwap,0.0049748076
momentum_10,0.0048515676
cerca_fib_236,0.0048066266
cerca_fib_500,0.0047740135
posicion_canal,0.0046929982
bb_posicion,0.004664438
momentum_pct_10,0.004658253
dmi_neg,0.004633066
stoch_k,0.0046057752
rsi_7,0.004587999
patron_engulfing_alcista,0.004513949
cerca_fib_618,0.004280799
patron_triangulo,0.0039436077
stoch_d,0.0037818858
roc_10,0.0037187678
señal_velas,0.0037171757
patron_doble_techo,0.0035723913
patron_tres_cuervos,0.003427333
patron_tres_soldados,0.003393183
patron_doble_suelo,0.0032233286
patron_harami_alcista,0.0031886431
patron_morning_star,0.003135983
confirmacion_bajista,0.0030302133
volumen_anomalo,0.0028308209
rsi_sobrecompra,0.0028251603
divergencia_bajista_rsi,0.0027924527
patron_estrella_fugaz,0.0027102565
patron_doji,0.0026488064
patron_engulfing_bajista,0.0025498406
divergencia_alcista_rsi,0.0023432665
patron_martillo,0.0021300905
patron_hch,0.002015157
confirmacion_alcista,0.0015055912
death_cross,0.0
golden_cross,0.0
rsi_sobreventa,0.0
stoch_sobreventa,0.0
mfi_sobreventa,0.0
patron_marubozu_bajista,0.0
patron_marubozu_alcista,0.0
patron_evening_star,0.0
mcap_btc,0.0
correlacion_btc,0.0
