feature,importancia
es_resistencia,0.054874018
atr_pct,0.039757766
es_soporte,0.033512916
tendencia_4h,0.02535409
regimen_mercado,0.024386294
rsi_diario,0.021620313
precio_sobre_ema200,0.019720463
ema50_sobre_ema200,0.018845536
vwap,0.016505385
ema200_pendiente,0.016279193
kc_mid,0.015259567
ema_9,0.014461067
ema_50,0.0143199125
ichi_chikou,0.013921737
kc_lower,0.013254948
ichi_tenkan,0.0128188785
fib_500,0.0125792865
alineacion_timeframes,0.012540737
fib_236,0.012310259
fear_greed,0.0122801615
dist_resistencia_pct,0.012013039
volatilidad_20,0.011610077
kc_upper,0.011455448
fib_618,0.011439007
bb_lower,0.011293775
tendencia_diario,0.011252387
bb_mid,0.011031596
ema50_semanal,0.011028017
ema_21,0.010712211
obv_ema,0.010686419
señal_patrones_graficos,0.0105181085
ichi_kijun,0.010515483
fear_greed_num,0.010509708
bb_squeeze,0.01026863
rsi_semanal,0.010222789
rsi_4h,0.010094138
sma_50,0.010059045
ichi_senkou_b,0.009912867
sma_200,0.009834008
fib_382,0.009791428
obv,0.009746697
ema_100,0.009656024
sma_20,0.009619616
cerca_fib_382,0.009589614
rango_vela_pct,0.00954594
dist_soporte_pct,0.00945605
bb_upper,0.00939802
macd_signal,0.0092362
volatilidad_50,0.009206832
ema_200,0.009124987
rsi_sobrecompra,0.0091036735
roc_20,0.0089993905
macd,0.008767374
ema50_4h,0.008635123
fear_greed_cambio,0.008342377
ema50_diario,0.00825212
correlacion_btc,0.007832806
atr_14,0.007456878
precio_sobre_ema50,0.0072256573
williams_r,0.0071290424
rsi_14,0.007112602
tendencia_semanal,0.0070842565
patron_flag,0.0069409916
adx,0.0069051934
patron_doble_techo,0.00668538
confirmacion_alcista,0.0066769584
posicion_canal,0.006465992
ichi_senkou_a,0.0064353077
dmi_pos,0.006252729
bb_width,0.006226472
dmi_neg,0.0061772144
volumen_ratio,0.0058763693
macd_hist,0.0058676866
cerca_fib_618,0.0056785033
cci_20,0.005663561
bb_posicion,0.005526663
momentum_10,0.00550674
patron_hch_invertido,0.005451161
patron_cuña,0.00522426
precio_sobre_vwap,0.005071954
rsi_7,0.005061481
mfi_14,0.0050439932
roc_10,0.0050116554
stoch_k,0.004701649
obv_tendencia,0.0046309284
mfi_sobrecompra,0.0045705955
momentum_pct_10,0.0044226116
divergencia_bajista_rsi,0.0043826276
rango_vela,0.004158601
stoch_d,0.004146371
rsi_sobreventa,0.0041006766
señal_velas,0.0040085907
cerca_fib_500,0.0039179856
señal_multitf_fuerte,0.0039124615
patron_triangulo,0.0038734726
en_canal,0.0036136212
macd_cruce,0.0031770864
patron_harami_alcista,0.0028237433
patron_tres_cuervos,0.0025386775
cerca_fib_236,0.002357049
patron_tres_soldados,0.001541085
stoch_sobrecompra,0.0
stoch_sobreventa,0.0
divergencia_alcista_rsi,0.0
golden_cross,0.0
death_cross,0.0
rsi_zona_neutral,0.0
volumen_muy_bajo,0.0
patron_evening_star,0.0
patron_morning_star,0.0
patron_engulfing_bajista,0.0
patron_engulfing_alcista,0.0
patron_marubozu_alcista,0.0
patron_marubozu_bajista,0.0
patron_estrella_fugaz,0.0
patron_martillo,0.0
patron_doji,0.0
volumen_anomalo,0.0
mfi_sobreventa,0.0
confirmacion_bajista,0.0
mcap_btc,0.0
patron_hch,0.0
patron_doble_suelo,0.0
descorrelacionado,0.0
