feature,importancia
es_soporte,0.044673268
es_resistencia,0.034981485
ema50_sobre_ema200,0.027052848
tendencia_4h,0.02293279
atr_pct,0.022081912
rsi_diario,0.020622218
regimen_mercado,0.01965785
ichi_tenkan,0.01660049
vwap,0.016081445
ema200_pendiente,0.015666457
ichi_senkou_a,0.015143894
patron_doble_suelo,0.014621153
ema_21,0.014403244
alineacion_timeframes,0.014293873
dist_soporte_pct,0.01396513
kc_lower,0.013896616
kc_mid,0.013648219
ichi_chikou,0.013180137
precio_sobre_ema200,0.013166353
sma_50,0.013084546
ema_9,0.013015062
obv_ema,0.01285986
obv,0.012656157
en_canal,0.012086482
ema_50,0.011944346
ichi_kijun,0.011922307
bb_mid,0.01176741
fear_greed,0.011732234
fib_236,0.011730601
ema_100,0.011280326
bb_lower,0.011049596
bb_upper,0.010896303
fib_500,0.01082492
fib_618,0.010736253
ema50_4h,0.01049407
sma_20,0.009989526
dist_resistencia_pct,0.009959672
rsi_4h,0.009908249
ema50_semanal,0.009761863
tendencia_semanal,0.009658402
rsi_semanal,0.009616587
ema_200,0.009490159
fib_382,0.009372714
ichi_senkou_b,0.00925093
ema50_diario,0.009203935
correlacion_btc,0.00916438
macd,0.009141165
sma_200,0.009049064
precio_sobre_ema50,0.008988275
macd_signal,0.008800376
señal_multitf_fuerte,0.008749049
roc_20,0.00862205
fear_greed_cambio,0.008612409
fear_greed_num,0.00857512
rango_vela_pct,0.008520465
kc_upper,0.008313958
tendencia_diario,0.0081967
rsi_zona_neutral,0.00800438
patron_triangulo,0.007719355
adx,0.007601471
volatilidad_50,0.0075851697
williams_r,0.007581095
cerca_fib_382,0.007412246
volatilidad_20,0.0071996413
atr_14,0.0071593802
posicion_canal,0.006896706
cci_20,0.0068409652
patron_hch_invertido,0.006440295
bb_width,0.0063708783
rsi_14,0.006220503
rsi_sobreventa,0.006201162
macd_hist,0.006068479
roc_10,0.005808921
dmi_pos,0.005736648
patron_cuña,0.005645364
patron_flag,0.0054867147
momentum_pct_10,0.005413852
dmi_neg,0.0053842124
rsi_7,0.0053189644
mfi_14,0.0051784595
momentum_10,0.0051630866
patron_hch,0.0049521346
stoch_sobreventa,0.0049492274
patron_tres_soldados,0.004596659
bb_squeeze,0.0045797736
bb_posicion,0.004417215
stoch_d,0.004359291
cerca_fib_500,0.0043501095
stoch_k,0.0043416945
rango_vela,0.0042610713
patron_tres_cuervos,0.0042366455
precio_sobre_vwap,0.0041508153
señal_velas,0.0039483346
volumen_ratio,0.0037110902
patron_engulfing_alcista,0.0034878138
confirmacion_alcista,0.0034674497
divergencia_alcista_rsi,0.0030586356
divergencia_bajista_rsi,0.0030218337
cerca_fib_618,0.0030137438
confirmacion_bajista,0.0025873105
señal_patrones_graficos,0.002584731
patron_martillo,0.002488365
obv_tendencia,0.00240202
volumen_anomalo,0.0023820093
patron_doji,0.0022953355
cerca_fib_236,0.0022238852
macd_cruce,0.0
rsi_sobrecompra,0.0
stoch_sobrecompra,0.0
death_cross,0.0
golden_cross,0.0
patron_morning_star,0.0
patron_evening_star,0.0
patron_marubozu_alcista,0.0
patron_estrella_fugaz,0.0
mfi_sobreventa,0.0
mfi_sobrecompra,0.0
volumen_muy_bajo,0.0
patron_harami_alcista,0.0
patron_engulfing_bajista,0.0
patron_marubozu_bajista,0.0
patron_doble_techo,0.0
mcap_btc,0.0
descorrelacionado,0.0
