feature,importancia
es_resistencia,0.04203899
es_soporte,0.03392497
atr_pct,0.033073474
tendencia_4h,0.024732755
rsi_diario,0.023388453
ema50_sobre_ema200,0.020475343
regimen_mercado,0.019952914
ema200_pendiente,0.019056592
ichi_chikou,0.018340351
precio_sobre_ema50,0.017990084
ema_9,0.017735908
vwap,0.017641162
precio_sobre_ema200,0.017492091
volatilidad_20,0.016780483
dist_resistencia_pct,0.01653979
ichi_tenkan,0.015831178
kc_mid,0.015426269
fib_618,0.0149908215
sma_20,0.014893621
alineacion_timeframes,0.014790125
kc_upper,0.014613653
kc_lower,0.014465033
fib_500,0.014262751
sma_200,0.014151249
fib_236,0.0141463
fib_382,0.013580502
bb_lower,0.0132823475
bb_upper,0.013027148
rsi_4h,0.012637622
ema_50,0.012524562
sma_50,0.012449562
fear_greed,0.012375269
obv,0.012355172
ichi_kijun,0.0111689195
ichi_senkou_b,0.011020609
correlacion_btc,0.011006171
obv_ema,0.010965665
ema_200,0.010840876
ema50_4h,0.010787328
macd_signal,0.0103427535
macd,0.009944664
patron_doble_suelo,0.009916281
mfi_sobreventa,0.009780588
volatilidad_50,0.009593364
señal_patrones_graficos,0.009272152
ema50_semanal,0.009206167
dist_soporte_pct,0.00916748
macd_hist,0.00912784
ema_100,0.0090023605
señal_multitf_fuerte,0.008885306
rango_vela_pct,0.008803032
ichi_senkou_a,0.008614899
rsi_semanal,0.008456298
ema_21,0.0084230155
williams_r,0.008402875
precio_sobre_vwap,0.008065977
adx,0.008012007
ema50_diario,0.007920145
descorrelacionado,0.007637533
rsi_14,0.0073705995
dmi_pos,0.007367476
patron_triangulo,0.007184636
stoch_k,0.00661178
atr_14,0.0063439035
mfi_14,0.0063141203
fear_greed_cambio,0.006249169
roc_20,0.006055278
bb_width,0.0059262128
posicion_canal,0.0056819804
stoch_d,0.005524088
obv_tendencia,0.0053238003
bb_posicion,0.0052221343
cci_20,0.005145743
momentum_10,0.005136409
tendencia_semanal,0.0050009442
patron_tres_cuervos,0.0049789133
patron_cuña,0.004936015
patron_flag,0.004687121
fear_greed_num,0.004537953
bb_squeeze,0.004510126
rsi_7,0.0045063174
dmi_neg,0.004421218
en_canal,0.00402116
tendencia_diario,0.0038876035
roc_10,0.0038236447
cerca_fib_382,0.0030988588
cerca_fib_500,0.0030745824
confirmacion_bajista,0.0030524188
patron_tres_soldados,0.0029293047
rango_vela,0.0026833294
volumen_ratio,0.0022662182
patron_hch_invertido,0.001936202
señal_velas,0.0019018248
cerca_fib_618,0.001565462
volumen_anomalo,0.0012323173
patron_doji,0.00095196575
rsi_zona_neutral,0.0009269572
patron_hch,0.00028131003
divergencia_bajista_rsi,0.0
stoch_sobreventa,0.0
macd_cruce,0.0
death_cross,0.0
golden_cross,0.0
divergencia_alcista_rsi,0.0
momentum_pct_10,0.0
stoch_sobrecompra,0.0
bb_mid,0.0
rsi_sobrecompra,0.0
rsi_sobreventa,0.0
patron_evening_star,0.0
patron_harami_alcista,0.0
patron_engulfing_bajista,0.0
patron_engulfing_alcista,0.0
patron_morning_star,0.0
patron_marubozu_alcista,0.0
patron_estrella_fugaz,0.0
patron_martillo,0.0
cerca_fib_236,0.0
volumen_muy_bajo,0.0
confirmacion_alcista,0.0
mfi_sobrecompra,0.0
patron_marubozu_bajista,0.0
mcap_btc,0.0
patron_doble_techo,0.0
