feature,importancia
es_resistencia,0.05475802
es_soporte,0.051792398
tendencia_4h,0.024806477
atr_pct,0.02171505
tendencia_semanal,0.020636948
rsi_diario,0.01981111
regimen_mercado,0.01786893
ema50_sobre_ema200,0.017672425
vwap,0.016435036
ichi_chikou,0.016274989
precio_sobre_ema200,0.015113407
ema200_pendiente,0.014761412
ema_9,0.014721385
kc_upper,0.014357513
kc_lower,0.014148612
sma_20,0.014087228
dist_resistencia_pct,0.01370639
ichi_tenkan,0.013500175
fib_618,0.013290036
bb_lower,0.012972561
ichi_kijun,0.012787797
bb_mid,0.012459345
fib_236,0.012420441
fib_500,0.012414888
patron_doble_suelo,0.012253741
bb_upper,0.011967806
fear_greed_num,0.011496654
fear_greed,0.011430848
ema50_4h,0.011197308
ema_100,0.010586131
ema_21,0.010540085
sma_50,0.010531991
kc_mid,0.01032125
obv_ema,0.010263465
sma_200,0.01023057
ema_50,0.009949923
ema50_semanal,0.0098922355
volatilidad_20,0.009815298
ichi_senkou_b,0.009776836
alineacion_timeframes,0.009694599
rsi_4h,0.009681598
macd,0.009504493
fib_382,0.009458453
ema_200,0.009364519
rsi_semanal,0.0092933625
correlacion_btc,0.009195958
dist_soporte_pct,0.009121762
macd_signal,0.009000398
obv,0.008757344
volatilidad_50,0.008299327
ema50_diario,0.008249533
macd_hist,0.0077956845
dmi_pos,0.007658227
señal_patrones_graficos,0.0076215584
ichi_senkou_a,0.007617348
tendencia_diario,0.0075389133
patron_hch,0.0072845044
mfi_sobreventa,0.007237359
rsi_14,0.0071732067
adx,0.0071071535
señal_multitf_fuerte,0.007022244
williams_r,0.0068729147
en_canal,0.0068210624
atr_14,0.0068178605
precio_sobre_vwap,0.006639964
patron_flag,0.00663687
fear_greed_cambio,0.006574521
bb_width,0.00655075
cerca_fib_382,0.006532772
cci_20,0.0063479
mfi_14,0.006257422
obv_tendencia,0.0059819464
rsi_7,0.005967805
dmi_neg,0.00585966
stoch_k,0.005840871
rango_vela_pct,0.005824729
bb_posicion,0.0058170124
bb_squeeze,0.005608063
stoch_d,0.005556977
roc_20,0.0054141865
descorrelacionado,0.0053262142
posicion_canal,0.005320774
stoch_sobreventa,0.00527893
patron_triangulo,0.0051834285
precio_sobre_ema50,0.005105254
cerca_fib_618,0.0050509144
momentum_10,0.0049249534
cerca_fib_236,0.004921867
momentum_pct_10,0.004796072
roc_10,0.00474255
patron_cuña,0.004725428
patron_tres_cuervos,0.0043784305
rango_vela,0.0038676679
volumen_ratio,0.0033168574
rsi_zona_neutral,0.003069521
señal_velas,0.0028066435
volumen_anomalo,0.0025733826
cerca_fib_500,0.002228289
patron_martillo,0.0018975922
confirmacion_bajista,0.0017423729
divergencia_alcista_rsi,0.0016549027
patron_tres_soldados,0.001606818
patron_hch_invertido,0.0011135828
divergencia_bajista_rsi,0.0
macd_cruce,0.0
death_cross,0.0
golden_cross,0.0
rsi_sobrecompra,0.0
rsi_sobreventa,0.0
stoch_sobrecompra,0.0
patron_harami_alcista,0.0
patron_engulfing_bajista,0.0
patron_evening_star,0.0
patron_morning_star,0.0
patron_marubozu_alcista,0.0
patron_estrella_fugaz,0.0
patron_doji,0.0
mfi_sobrecompra,0.0
volumen_muy_bajo,0.0
confirmacion_alcista,0.0
patron_engulfing_alcista,0.0
patron_marubozu_bajista,0.0
mcap_btc,0.0
patron_doble_techo,0.0
