feature,importancia
es_soporte,0.081299886
es_resistencia,0.06911167
tendencia_4h,0.024673173
bb_mid,0.020634135
rsi_diario,0.016177103
alineacion_timeframes,0.015956089
ema50_sobre_ema200,0.015498019
ichi_tenkan,0.015257239
precio_sobre_ema200,0.015090135
ichi_chikou,0.014084121
ema_9,0.013708439
ema50_4h,0.0133491885
ema200_pendiente,0.01328561
vwap,0.01265036
sma_20,0.012450216
regimen_mercado,0.012319232
kc_upper,0.011910303
ema50_semanal,0.011858955
correlacion_btc,0.01184727
ema_200,0.011679972
ichi_kijun,0.011433266
kc_lower,0.011144327
dist_resistencia_pct,0.011100808
fib_382,0.010922053
dist_soporte_pct,0.010858502
atr_pct,0.010857075
fib_618,0.010838611
sma_200,0.010723868
señal_multitf_fuerte,0.010716371
fib_500,0.010691058
bb_lower,0.010646213
ema_100,0.01061532
descorrelacionado,0.010597247
volatilidad_50,0.010211598
ema_50,0.010177677
sma_50,0.010044485
fib_236,0.010000987
precio_sobre_ema50,0.00996698
rsi_semanal,0.009668369
kc_mid,0.009559301
rsi_4h,0.009546924
bb_upper,0.009505259
fear_greed_num,0.009310356
fear_greed,0.0092395125
ema_21,0.008721024
williams_r,0.008679864
ema50_diario,0.008538416
adx,0.008257815
obv,0.008254411
macd_signal,0.008213372
macd,0.008201158
ichi_senkou_b,0.008152393
dmi_pos,0.0077875154
rsi_14,0.0077756764
ichi_senkou_a,0.0076603233
cerca_fib_236,0.007613591
obv_ema,0.0075998474
tendencia_diario,0.00751016
fear_greed_cambio,0.007385398
patron_morning_star,0.0070583588
atr_14,0.0070276354
volatilidad_20,0.006986409
tendencia_semanal,0.006816573
roc_20,0.0066975565
bb_width,0.006645023
macd_hist,0.006445578
momentum_10,0.0061937184
posicion_canal,0.0060259416
bb_posicion,0.006000252
dmi_neg,0.005971343
rsi_zona_neutral,0.005880033
patron_cuña,0.005809312
mfi_14,0.0057927766
stoch_k,0.0057106074
mfi_sobrecompra,0.005661081
patron_hch_invertido,0.0056242216
patron_flag,0.005566809
momentum_pct_10,0.0055194595
cci_20,0.005482329
precio_sobre_vwap,0.005404736
rsi_7,0.0054012774
cerca_fib_382,0.0053030844
patron_doble_suelo,0.005207016
patron_evening_star,0.0051744343
stoch_d,0.00501757
señal_patrones_graficos,0.004889919
en_canal,0.004798814
obv_tendencia,0.0047767786
patron_martillo,0.0044695036
roc_10,0.0043751188
señal_velas,0.004019408
rango_vela,0.0040176446
volumen_ratio,0.0035627915
patron_triangulo,0.0035445148
rango_vela_pct,0.0034648827
cerca_fib_618,0.0032268574
bb_squeeze,0.0031362514
patron_tres_soldados,0.002867585
patron_engulfing_bajista,0.002683929
cerca_fib_500,0.002539815
patron_tres_cuervos,0.002044426
confirmacion_alcista,0.0018233877
patron_doble_techo,0.0017348327
patron_doji,0.0013604389
rsi_sobrecompra,0.0006718228
macd_cruce,0.0
golden_cross,0.0
death_cross,0.0
rsi_sobreventa,0.0
stoch_sobrecompra,0.0
divergencia_bajista_rsi,0.0
stoch_sobreventa,0.0
divergencia_alcista_rsi,0.0
patron_harami_alcista,0.0
mfi_sobreventa,0.0
confirmacion_bajista,0.0
volumen_muy_bajo,0.0
patron_marubozu_alcista,0.0
patron_marubozu_bajista,0.0
patron_engulfing_alcista,0.0
patron_estrella_fugaz,0.0
volumen_anomalo,0.0
mcap_btc,0.0
patron_hch,0.0
