feature,importancia
atr_pct,0.051682018
ema50_sobre_ema200,0.03770768
es_resistencia,0.03522303
rsi_diario,0.026883805
tendencia_4h,0.026230711
rango_vela_pct,0.026116233
regimen_mercado,0.02449847
ema200_pendiente,0.022728581
precio_sobre_ema200,0.021765215
fear_greed,0.02136574
volatilidad_20,0.020896735
vwap,0.020142684
es_soporte,0.019953556
bb_mid,0.018347338
dist_resistencia_pct,0.018331101
fib_236,0.017738098
bb_upper,0.017317083
ichi_kijun,0.016424311
patron_doble_techo,0.015245043
kc_lower,0.015117184
fear_greed_num,0.014811008
rsi_semanal,0.014786013
ichi_tenkan,0.014311127
ema_9,0.013550212
bb_lower,0.013034252
ichi_chikou,0.012734086
kc_upper,0.012699133
rsi_4h,0.012606292
obv_ema,0.0125680715
ema50_4h,0.012516894
macd_signal,0.012485755
fib_618,0.012252006
alineacion_timeframes,0.0113885915
fib_382,0.011363589
obv,0.010439148
señal_patrones_graficos,0.010335941
fib_500,0.010255867
roc_20,0.010197195
volatilidad_50,0.009858129
tendencia_diario,0.009539747
dist_soporte_pct,0.009467515
cci_20,0.0090144435
ema_21,0.009001808
ema50_semanal,0.008948397
macd,0.008947976
sma_50,0.008634226
bb_width,0.008596367
sma_200,0.008227755
bb_squeeze,0.008204554
ema_200,0.008151033
ema_50,0.008021297
patron_hch,0.007980759
sma_20,0.007922838
cerca_fib_382,0.007500561
ema50_diario,0.0074795485
atr_14,0.007316368
ichi_senkou_b,0.0071636094
kc_mid,0.0071367626
fear_greed_cambio,0.006956999
ema_100,0.0069478992
ichi_senkou_a,0.006719033
rango_vela,0.006249379
adx,0.006200294
dmi_pos,0.0060009253
patron_cuña,0.005896542
cerca_fib_236,0.0057662814
rsi_14,0.005659596
posicion_canal,0.005577402
dmi_neg,0.0055112
williams_r,0.005259753
bb_posicion,0.0052354666
volumen_ratio,0.005043336
señal_multitf_fuerte,0.0049269483
rsi_7,0.0047699646
precio_sobre_vwap,0.003972798
mfi_14,0.0035703317
momentum_10,0.0035144829
roc_10,0.0033360596
momentum_pct_10,0.0032430566
macd_hist,0.003207694
stoch_d,0.0028091636
stoch_k,0.0024946076
mfi_sobrecompra,0.0024758931
cerca_fib_618,0.002450934
divergencia_alcista_rsi,0.002023077
patron_tres_soldados,0.0017310302
obv_tendencia,0.0015146709
mfi_sobreventa,0.0014821317
señal_velas,0.0013188069
patron_engulfing_alcista,0.0013060175
patron_flag,0.0011390152
patron_tres_cuervos,0.0010176077
confirmacion_bajista,0.00089296326
patron_doji,0.00061514304
rsi_sobreventa,0.0
rsi_sobrecompra,0.0
stoch_sobreventa,0.0
golden_cross,0.0
death_cross,0.0
macd_cruce,0.0
precio_sobre_ema50,0.0
stoch_sobrecompra,0.0
divergencia_bajista_rsi,0.0
rsi_zona_neutral,0.0
volumen_muy_bajo,0.0
confirmacion_alcista,0.0
volumen_anomalo,0.0
patron_morning_star,0.0
patron_harami_alcista,0.0
patron_engulfing_bajista,0.0
patron_marubozu_bajista,0.0
patron_estrella_fugaz,0.0
patron_marubozu_alcista,0.0
patron_martillo,0.0
cerca_fib_500,0.0
mcap_btc,0.0
en_canal,0.0
patron_triangulo,0.0
patron_hch_invertido,0.0
patron_doble_suelo,0.0
patron_evening_star,0.0
correlacion_btc,0.0
tendencia_semanal,0.0
