feature,importancia
es_resistencia,0.06550532
es_soporte,0.039712094
atr_pct,0.032768823
tendencia_4h,0.027555158
regimen_mercado,0.024500439
precio_sobre_ema200,0.02103344
ema_9,0.01899529
rsi_diario,0.017932748
kc_mid,0.01610856
vwap,0.015819076
rsi_sobrecompra,0.015115379
ema200_pendiente,0.013687186
ichi_tenkan,0.013355295
fib_500,0.013013422
bb_mid,0.012892366
ema_21,0.012834182
kc_lower,0.012491329
fib_236,0.0122539075
ichi_kijun,0.012119964
kc_upper,0.011987754
fib_618,0.011974115
ichi_chikou,0.01189812
ema_100,0.01179006
ema50_sobre_ema200,0.011523936
fear_greed_num,0.0113926865
sma_50,0.011220847
bb_upper,0.011103608
rango_vela_pct,0.011036158
fib_382,0.010833855
ema_200,0.0106243
fear_greed,0.010556168
volatilidad_20,0.010543635
ema50_semanal,0.010277743
tendencia_semanal,0.010099337
tendencia_diario,0.010020631
bb_squeeze,0.009886838
ema_50,0.009807467
sma_200,0.009755596
ema50_4h,0.00964706
obv_ema,0.009590516
obv,0.009540146
dist_resistencia_pct,0.00949093
señal_patrones_graficos,0.009266681
roc_20,0.008871691
sma_20,0.008805764
dist_soporte_pct,0.008796811
rsi_semanal,0.00861269
bb_lower,0.008587562
ichi_senkou_b,0.008239885
rsi_4h,0.00810743
macd_signal,0.007909881
macd,0.007885174
ema50_diario,0.00786833
atr_14,0.0076465206
fear_greed_cambio,0.0075495862
williams_r,0.0073302253
en_canal,0.0072949934
alineacion_timeframes,0.007251694
correlacion_btc,0.0071550854
volatilidad_50,0.0069727926
dmi_pos,0.006705117
patron_triangulo,0.006608901
ichi_senkou_a,0.0065210313
bb_width,0.0064966376
adx,0.0064581893
rsi_sobreventa,0.006396433
volumen_ratio,0.00612002
posicion_canal,0.0060457257
divergencia_bajista_rsi,0.005887671
stoch_k,0.0058642644
patron_flag,0.005808534
rsi_14,0.0057816026
dmi_neg,0.0056845774
momentum_10,0.0055753454
bb_posicion,0.005549341
patron_hch_invertido,0.005375356
mfi_sobrecompra,0.0053026928
cerca_fib_500,0.00529893
precio_sobre_ema50,0.0051552826
patron_cuña,0.005117195
roc_10,0.0050123315
cci_20,0.0049833786
mfi_14,0.0049701957
macd_hist,0.0049598156
cerca_fib_382,0.0049046115
stoch_d,0.004769656
cerca_fib_236,0.0047358577
precio_sobre_vwap,0.0046014483
señal_velas,0.0045152833
patron_doble_techo,0.0045019346
patron_tres_cuervos,0.0043493845
rango_vela,0.0043251375
obv_tendencia,0.0042760666
señal_multitf_fuerte,0.0041945768
patron_hch,0.0041683675
rsi_zona_neutral,0.004122319
rsi_7,0.0040968372
momentum_pct_10,0.0039264164
volumen_anomalo,0.0037448083
cerca_fib_618,0.0031900902
patron_engulfing_bajista,0.0030041633
patron_harami_alcista,0.0023888003
patron_doble_suelo,0.0020573253
stoch_sobreventa,0.0
golden_cross,0.0
macd_cruce,0.0
stoch_sobrecompra,0.0
death_cross,0.0
divergencia_alcista_rsi,0.0
patron_morning_star,0.0
patron_marubozu_bajista,0.0
patron_engulfing_alcista,0.0
patron_evening_star,0.0
patron_estrella_fugaz,0.0
patron_doji,0.0
patron_martillo,0.0
volumen_muy_bajo,0.0
mfi_sobreventa,0.0
confirmacion_alcista,0.0
confirmacion_bajista,0.0
patron_marubozu_alcista,0.0
patron_tres_soldados,0.0
mcap_btc,0.0
descorrelacionado,0.0
