ts,simbolo,dir,motivo,entrada,salida,pnl,capital
2026-04-23 17:00:00,ETH_USDT,short,take_profit,2334.1124,2312.2055,12.84,1012.84
2026-04-24 06:00:00,BNB_USDT,short,tiempo_maximo,636.9114,635.3775,-14.23,998.61
2026-04-24 15:00:00,ETH_USDT,short,tiempo_maximo,2331.4337,2325.8223,-9.41,989.2
2026-04-26 15:00:00,ETH_USDT,short,stop_loss,2331.4237,2350.6848,-49.51,950.49
2026-04-26 18:00:00,ETH_USDT,short,stop_loss,2345.9964,2363.8113,-3.83,946.66
2026-04-27 03:00:00,ETH_USDT,short,stop_loss,2371.8735,2396.2475,-5.41,994.59
2026-04-27 06:00:00,ETH_USDT,short,take_profit,2390.4842,2323.261,50.57,1045.17
2026-04-27 06:00:00,BNB_USDT,short,take_profit,638.1807,627.8338,26.69,1071.86
2026-04-27 06:00:00,SOL_USDT,long,stop_loss,87.1035,85.7271,-41.33,1030.53
2026-04-27 16:00:00,ETH_USDT,short,take_profit,2320.4792,2278.9289,27.83,1027.83
2026-04-27 22:00:00,BNB_USDT,short,trailing_stop,627.8759,625.3625,3.23,1031.06
2026-04-28 00:00:00,BTC_USDT,short,trailing_stop,77785.8876,77411.0862,4.88,1035.94
2026-04-28 15:00:00,SOL_USDT,long,stop_loss,84.1721,83.2718,-27.35,1008.59
2026-04-28 18:00:00,BNB_USDT,short,trailing_stop,626.4266,624.257,1.39,1009.98
2026-04-29 04:00:00,ETH_USDT,long,take_profit,2288.4036,2330.815,32.86,1042.83
2026-04-29 04:00:00,BNB_USDT,long,trailing_stop,624.322,625.4159,-2.83,1040.01
2026-04-29 09:00:00,SOL_USDT,long,trailing_stop,83.5417,84.6586,21.49,1061.5
2026-04-29 13:00:00,BTC_USDT,long,stop_loss,77146.3539,76426.8363,-23.75,1037.75
2026-04-29 17:00:00,BNB_USDT,short,take_profit,621.5591,612.8758,25.04,1062.79
2026-04-29 17:00:00,SOL_USDT,short,take_profit,83.7681,82.19,35.23,1098.02
2026-05-01 13:00:00,BTC_USDT,long,trailing_stop,76405.4836,78192.3457,45.57,1143.59
2026-05-01 13:00:00,ETH_USDT,long,trailing_stop,2256.8278,2300.1771,37.21,1180.8
2026-05-01 14:00:00,SOL_USDT,long,trailing_stop,83.1716,84.0199,16.38,1197.18
2026-05-02 21:00:00,ETH_USDT,short,stop_loss,2303.3078,2324.3494,-27.84,1169.34
2026-05-02 21:00:00,SOL_USDT,long,trailing_stop,84.022,84.1357,-1.56,1167.78
2026-05-03 15:00:00,SOL_USDT,long,trailing_stop,83.8719,83.9821,-2.56,1165.22
2026-05-03 20:00:00,BTC_USDT,short,stop_loss,78389.7855,79234.5295,-33.73,1131.49
2026-05-03 21:00:00,ETH_USDT,long,trailing_stop,2307.9934,2320.2517,5.91,1137.4
2026-05-04 04:00:00,BNB_USDT,short,stop_loss,617.3412,625.9651,-45.98,1091.42
2026-05-04 07:00:00,SOL_USDT,long,trailing_stop,84.1821,85.0997,19.03,1110.45
2026-05-05 03:00:00,BTC_USDT,short,stop_loss,80183.888,81080.0117,-29.5,1080.96
2026-05-05 17:00:00,SOL_USDT,short,stop_loss,84.7176,85.7709,-35.0,1045.96
2026-05-05 22:00:00,BNB_USDT,long,trailing_stop,628.6442,629.8587,-1.02,1044.94
2026-05-06 09:00:00,BTC_USDT,short,stop_loss,81140.9093,81993.7284,-27.2,1017.74
2026-05-06 09:00:00,ETH_USDT,short,stop_loss,2364.867,2399.1574,-34.76,982.98
2026-05-07 00:00:00,ETH_USDT,short,trailing_stop,2355.8015,2348.7474,0.59,983.57
2026-05-07 07:00:00,BTC_USDT,short,trailing_stop,82191.2838,81470.7574,5.91,989.48
2026-05-07 14:00:00,BTC_USDT,short,trailing_stop,81508.5254,80700.981,7.89,997.37
2026-05-08 11:00:00,BNB_USDT,short,trailing_stop,647.766,640.9661,7.28,1004.65
2026-05-08 17:00:00,SOL_USDT,short,stop_loss,88.6756,90.2549,-21.12,983.53
2026-05-09 15:00:00,BTC_USDT,long,trailing_stop,79906.5333,80209.4296,0.19,983.72
2026-05-09 15:00:00,ETH_USDT,long,trailing_stop,2282.7608,2304.8001,6.54,990.26
2026-05-10 00:00:00,BNB_USDT,short,trailing_stop,650.2347,649.6916,-2.34,987.91
2026-05-10 09:00:00,SOL_USDT,short,stop_loss,93.1134,94.4525,-16.75,971.16
2026-05-10 14:00:00,BTC_USDT,short,stop_loss,80585.5871,81110.6904,-9.24,961.92
2026-05-10 14:00:00,SOL_USDT,short,stop_loss,93.2733,94.4538,-14.35,947.58
2026-05-10 15:00:00,ETH_USDT,short,stop_loss,2319.7995,2344.1091,-13.65,933.92
2026-05-10 15:00:00,BNB_USDT,short,stop_loss,647.4161,654.8392,-13.81,920.11
2026-05-10 22:00:00,ETH_USDT,long,trailing_stop,2336.0675,2353.3047,4.99,925.1
2026-05-12 15:00:00,BTC_USDT,long,stop_loss,81735.8475,80445.252,-34.67,890.43
2026-05-13 03:00:00,BNB_USDT,short,stop_loss,652.9134,672.0618,-62.16,828.28
2026-05-13 12:00:00,SOL_USDT,short,take_profit,95.6422,93.2794,40.11,868.38
2026-05-18 03:00:00,ETH_USDT,long,stop_loss,2185.4622,2152.7581,-15.2,853.18
2026-05-18 03:00:00,BNB_USDT,long,stop_loss,655.1074,645.6688,-15.06,838.12
2026-05-18 03:00:00,SOL_USDT,long,stop_loss,86.6633,85.2144,-16.74,821.39
2026-05-21 12:00:00,BNB_USDT,long,trailing_stop,644.1319,648.1592,1.2,822.59
2026-05-21 16:00:00,BNB_USDT,short,stop_loss,646.1068,652.9814,-10.48,812.11
2026-05-22 15:00:00,ETH_USDT,long,stop_loss,2137.8584,2111.0276,-12.57,799.54
2026-05-26 16:00:00,SOL_USDT,long,stop_loss,85.6128,84.5938,-11.2,788.34
2026-05-26 22:00:00,BTC_USDT,short,take_profit,77062.7494,75630.1014,11.76,800.1
